"Test[not.NA.test.row.index, 1]","Test[not.NA.test.row.index, 3]","Test[not.NA.test.row.index, 2]","predict(Cubist, Test[not.NA.test.row.index, 2:14])"
"06/03/2018",0,224,187.822067260742
"06/03/2018",1,188,160.176483154297
"06/03/2018",2,122,137.089141845703
"06/03/2018",3,82,82.6855697631836
"06/03/2018",4,79,55.481990814209
"06/03/2018",5,80,70.380973815918
"06/03/2018",6,214,114.242942810059
"06/03/2018",7,583,317.600219726562
"06/03/2018",8,997,590.132080078125
"06/03/2018",9,556,353.072784423828
"06/03/2018",10,380,340.064849853516
"06/03/2018",11,475,421.205413818359
"06/03/2018",12,504,520.859741210938
"06/03/2018",13,528,545.429748535156
"06/03/2018",14,567,566.406005859375
"06/03/2018",15,616,563.92333984375
"06/03/2018",16,680,629.236755371094
"06/03/2018",17,883,662.976196289062
"06/03/2018",18,1246,620.707824707031
"06/03/2018",19,833,506.523468017578
"06/03/2018",20,666,406.829650878906
"06/03/2018",21,625,357.429321289062
"06/03/2018",22,514,359.245819091797
"06/03/2018",23,361,315.964721679688
"07/03/2018",0,289,217.266906738281
"07/03/2018",1,194,205.697692871094
"07/03/2018",2,134,190.580688476562
"07/03/2018",3,92,102.671203613281
"07/03/2018",4,49,62.5434646606445
"07/03/2018",5,97,75.1343688964844
"07/03/2018",6,232,107.102333068848
"07/03/2018",7,598,374.377197265625
"07/03/2018",8,1032,657.719177246094
"07/03/2018",9,566,339.412078857422
"07/03/2018",10,410,453.035125732422
"07/03/2018",11,441,513.357421875
"07/03/2018",12,550,553.350830078125
"07/03/2018",13,509,613.65869140625
"07/03/2018",14,505,627.419921875
"07/03/2018",15,620,637.492370605469
"07/03/2018",16,646,593.450500488281
"07/03/2018",17,849,655.584045410156
"07/03/2018",18,1365,761.760620117188
"07/03/2018",19,799,604.259826660156
"07/03/2018",20,587,474.963623046875
"07/03/2018",21,411,447.027954101562
"07/03/2018",22,147,409.738494873047
"07/03/2018",23,48,313.684478759766
"08/03/2018",0,49,292.027893066406
"08/03/2018",1,23,231.534759521484
"08/03/2018",2,19,193.000595092773
"08/03/2018",3,12,116.266334533691
"08/03/2018",4,8,78.8929061889648
"08/03/2018",5,17,68.965950012207
"08/03/2018",6,32,85.9699096679688
"08/03/2018",7,64,132.497695922852
"08/03/2018",8,88,204.247436523438
"08/03/2018",9,100,176.338027954102
"08/03/2018",10,165,155.673690795898
"08/03/2018",11,290,306.624664306641
"08/03/2018",12,375,316.510650634766
"08/03/2018",13,405,377.663696289062
"08/03/2018",14,452,430.063873291016
"08/03/2018",15,555,446.403015136719
"08/03/2018",16,594,451.367706298828
"08/03/2018",17,757,418.099609375
"08/03/2018",18,1091,471.568756103516
"08/03/2018",19,683,339.835693359375
"08/03/2018",20,586,265.952178955078
"08/03/2018",21,533,261.785064697266
"08/03/2018",22,498,265.706146240234
"08/03/2018",23,315,252.46842956543
"09/03/2018",0,272,206.958724975586
"09/03/2018",1,228,180.342208862305
"09/03/2018",2,155,170.286956787109
"09/03/2018",3,105,103.382598876953
"09/03/2018",4,66,65.2348403930664
"09/03/2018",5,88,85.8038330078125
"09/03/2018",6,195,95.2106628417969
"09/03/2018",7,574,320.523864746094
"09/03/2018",8,1041,676.46044921875
"09/03/2018",9,570,402.067352294922
"09/03/2018",10,361,477.353118896484
"09/03/2018",11,444,488.522399902344
"09/03/2018",12,510,508.8505859375
"09/03/2018",13,509,507.389251708984
"09/03/2018",14,542,584.451843261719
"09/03/2018",15,611,398.514373779297
"09/03/2018",16,686,486.056671142578
"09/03/2018",17,834,411.927459716797
"09/03/2018",18,1231,531.955261230469
"09/03/2018",19,718,502.567077636719
"09/03/2018",20,535,219.334243774414
"09/03/2018",21,537,317.177917480469
"09/03/2018",22,521,290.112670898438
"09/03/2018",23,309,252.008148193359
"10/03/2018",0,328,228.491287231445
"10/03/2018",1,305,205.367080688477
"10/03/2018",2,241,186.848693847656
"10/03/2018",3,139,123.003463745117
"10/03/2018",4,91,73.7876586914062
"10/03/2018",5,79,71.1269226074219
"10/03/2018",6,74,61.3628807067871
"10/03/2018",7,208,238.125823974609
"10/03/2018",8,340,508.385162353516
"10/03/2018",9,381,270.508636474609
"10/03/2018",10,416,307.812286376953
"10/03/2018",11,497,321.094787597656
"10/03/2018",12,650,394.516174316406
"10/03/2018",13,757,400.788055419922
"10/03/2018",14,906,497.480682373047
"10/03/2018",15,931,463.062652587891
"10/03/2018",16,972,533.531372070312
"10/03/2018",17,829,581.942199707031
"10/03/2018",18,664,446.930572509766
"10/03/2018",19,573,423.559783935547
"10/03/2018",20,447,387.939910888672
"10/03/2018",21,470,327.522003173828
"10/03/2018",22,421,309.973358154297
"10/03/2018",23,345,252.724838256836
"11/03/2018",0,376,300.472015380859
"11/03/2018",1,222,276.869995117188
"11/03/2018",2,171,227.972366333008
"11/03/2018",3,115,162.302474975586
"11/03/2018",4,80,87.5103530883789
"11/03/2018",5,45,66.8806838989258
"11/03/2018",6,63,63.9313278198242
"11/03/2018",7,119,151.094314575195
"11/03/2018",8,212,417.279083251953
"11/03/2018",9,289,250.44841003418
"11/03/2018",10,394,291.972015380859
"11/03/2018",11,425,295.873413085938
"11/03/2018",12,666,387.832458496094
"11/03/2018",13,843,480.755645751953
"11/03/2018",14,1154,599.550170898438
"11/03/2018",15,1294,572.239074707031
"11/03/2018",16,1205,590.398132324219
"11/03/2018",17,1028,684.474609375
"11/03/2018",18,776,649.292236328125
"11/03/2018",19,596,543.618469238281
"11/03/2018",20,530,445.677581787109
"11/03/2018",21,533,410.084838867188
"11/03/2018",22,419,373.471405029297
"11/03/2018",23,288,347.782958984375
"12/03/2018",0,222,223.443328857422
"12/03/2018",1,163,210.918579101562
"12/03/2018",2,95,138.528289794922
"12/03/2018",3,60,131.136932373047
"12/03/2018",4,47,138.588577270508
"12/03/2018",5,106,95.9211120605469
"12/03/2018",6,261,144.581146240234
"12/03/2018",7,662,335.859558105469
"12/03/2018",8,1066,713.951232910156
"12/03/2018",9,604,388.910400390625
"12/03/2018",10,406,353.149322509766
"12/03/2018",11,463,456.899291992188
"12/03/2018",12,581,494.068725585938
"12/03/2018",13,588,473.164154052734
"12/03/2018",14,603,424.397033691406
"12/03/2018",15,694,489.657897949219
"12/03/2018",16,752,484.95166015625
"12/03/2018",17,931,477.977844238281
"12/03/2018",18,1425,604.920959472656
"12/03/2018",19,946,630.922546386719
"12/03/2018",20,801,470.258819580078
"12/03/2018",21,771,478.314422607422
"12/03/2018",22,695,451.606536865234
"12/03/2018",23,397,381.955780029297
"13/03/2018",0,309,224.981842041016
"13/03/2018",1,231,232.982330322266
"13/03/2018",2,161,174.328506469727
"13/03/2018",3,103,81.3202209472656
"13/03/2018",4,88,74.7602310180664
"13/03/2018",5,97,85.92041015625
"13/03/2018",6,252,121.714813232422
"13/03/2018",7,668,366.032257080078
"13/03/2018",8,1215,630.975708007812
"13/03/2018",9,616,381.566436767578
"13/03/2018",10,428,411.282745361328
"13/03/2018",11,571,410.379791259766
"13/03/2018",12,626,546.768432617188
"13/03/2018",13,678,557.4931640625
"13/03/2018",14,705,613.270385742188
"13/03/2018",15,815,656.606079101562
"13/03/2018",16,890,683.053344726562
"13/03/2018",17,1085,731.033996582031
"13/03/2018",18,1749,792.82080078125
"13/03/2018",19,1224,663.902282714844
"13/03/2018",20,986,559.028930664062
"13/03/2018",21,982,521.891479492188
"13/03/2018",22,912,489.669189453125
"13/03/2018",23,572,486.875762939453
"14/03/2018",0,412,383.293701171875
"14/03/2018",1,309,259.142761230469
"14/03/2018",2,226,233.795944213867
"14/03/2018",3,142,162.103042602539
"14/03/2018",4,82,106.513679504395
"14/03/2018",5,123,115.120323181152
"14/03/2018",6,290,154.621170043945
"14/03/2018",7,786,592.567749023438
"14/03/2018",8,1371,800.126586914062
"14/03/2018",9,761,601.014770507812
"14/03/2018",10,552,656.168518066406
"14/03/2018",11,643,688.941528320312
"14/03/2018",12,813,673.6494140625
"14/03/2018",13,789,685.440246582031
"14/03/2018",14,878,697.938537597656
"14/03/2018",15,1025,702.507507324219
"14/03/2018",16,1049,723.395935058594
"14/03/2018",17,1325,806.899597167969
"14/03/2018",18,2100,898.159545898438
"14/03/2018",19,1478,832.746765136719
"14/03/2018",20,1275,678.13720703125
"14/03/2018",21,1181,644.821411132812
"14/03/2018",22,983,609.471801757812
"14/03/2018",23,587,599.505004882812
"15/03/2018",0,466,286.719848632812
"15/03/2018",1,355,266.007568359375
"15/03/2018",2,203,249.356201171875
"15/03/2018",3,51,172.475051879883
"15/03/2018",4,9,115.27082824707
"15/03/2018",5,8,117.626754760742
"15/03/2018",6,10,124.016464233398
"15/03/2018",7,15,377.858978271484
"15/03/2018",8,39,483.891082763672
"15/03/2018",9,32,358.256072998047
"15/03/2018",10,27,409.614410400391
"15/03/2018",11,65,406.008544921875
"15/03/2018",12,204,389.961029052734
"15/03/2018",13,269,389.343688964844
"15/03/2018",14,289,351.173492431641
"15/03/2018",15,329,337.420379638672
"15/03/2018",16,214,432.469573974609
"15/03/2018",17,411,497.111328125
"15/03/2018",18,676,348.257263183594
"15/03/2018",19,606,469.663024902344
"15/03/2018",20,533,482.226928710938
"15/03/2018",21,567,286.056610107422
"15/03/2018",22,506,337.926971435547
"15/03/2018",23,343,281.576934814453
"16/03/2018",0,287,248.210189819336
"16/03/2018",1,278,267.204498291016
"16/03/2018",2,178,212.600799560547
"16/03/2018",3,102,93.0386810302734
"16/03/2018",4,85,63.5531806945801
"16/03/2018",5,85,100.769020080566
"16/03/2018",6,222,126.339614868164
"16/03/2018",7,652,373.983734130859
"16/03/2018",8,1176,758.298217773438
"16/03/2018",9,683,525.753540039062
"16/03/2018",10,507,457.674224853516
"16/03/2018",11,557,494.518768310547
"16/03/2018",12,705,490.805633544922
"16/03/2018",13,715,517.72802734375
"16/03/2018",14,772,538.601928710938
"16/03/2018",15,923,609.34130859375
"16/03/2018",16,976,615.607604980469
"16/03/2018",17,1160,706.690856933594
"16/03/2018",18,1641,775.654724121094
"16/03/2018",19,974,558.448791503906
"16/03/2018",20,774,445.411895751953
"16/03/2018",21,710,448.341552734375
"16/03/2018",22,660,359.629791259766
"16/03/2018",23,455,324.172790527344
"17/03/2018",0,414,223.911666870117
"17/03/2018",1,366,243.539001464844
"17/03/2018",2,268,199.878662109375
"17/03/2018",3,157,124.320472717285
"17/03/2018",4,103,61.5079078674316
"17/03/2018",5,60,59.3051872253418
"17/03/2018",6,109,84.5451278686523
"17/03/2018",7,193,396.165802001953
"17/03/2018",8,384,731.485656738281
"17/03/2018",9,520,420.594146728516
"17/03/2018",10,561,430.323822021484
"17/03/2018",11,742,461.482147216797
"17/03/2018",12,933,532.854736328125
"17/03/2018",13,1111,545.248474121094
"17/03/2018",14,1294,623.61474609375
"17/03/2018",15,1514,649.965270996094
"17/03/2018",16,1440,626.644897460938
"17/03/2018",17,1272,646.790466308594
"17/03/2018",18,934,890.219787597656
"17/03/2018",19,718,594.727661132812
"17/03/2018",20,688,474.957946777344
"17/03/2018",21,624,408.024444580078
"17/03/2018",22,562,445.853759765625
"17/03/2018",23,422,352.955078125
"18/03/2018",0,407,242.742492675781
"18/03/2018",1,309,227.510864257812
"18/03/2018",2,226,184.107818603516
"18/03/2018",3,174,117.000038146973
"18/03/2018",4,106,46.4521903991699
"18/03/2018",5,67,61.3423538208008
"18/03/2018",6,73,145.914596557617
"18/03/2018",7,152,379.084930419922
"18/03/2018",8,293,701.460021972656
"18/03/2018",9,398,336.82373046875
"18/03/2018",10,460,325.895324707031
"18/03/2018",11,587,339.811645507812
"18/03/2018",12,751,352.931854248047
"18/03/2018",13,881,358.750823974609
"18/03/2018",14,993,404.344512939453
"18/03/2018",15,1128,465.033477783203
"18/03/2018",16,1059,566.081420898438
"18/03/2018",17,603,455.477752685547
"18/03/2018",18,365,756.384033203125
"18/03/2018",19,237,673.899841308594
"18/03/2018",20,146,505.114654541016
"18/03/2018",21,71,399.027252197266
"18/03/2018",22,70,368.756134033203
"18/03/2018",23,53,392.224273681641
"19/03/2018",0,67,248.690872192383
"19/03/2018",1,38,168.041610717773
"19/03/2018",2,28,166.9345703125
"19/03/2018",3,12,123.117736816406
"19/03/2018",4,9,59.5273361206055
"19/03/2018",5,27,54.1058769226074
"19/03/2018",6,91,90.5917892456055
"19/03/2018",7,370,262.682495117188
"19/03/2018",8,592,468.439605712891
"19/03/2018",9,387,389.247589111328
"19/03/2018",10,292,419.370971679688
"19/03/2018",11,393,464.974792480469
"19/03/2018",12,403,455.241516113281
"19/03/2018",13,387,443.626220703125
"19/03/2018",14,326,506.103790283203
"19/03/2018",15,263,572.972778320312
"19/03/2018",16,271,434.388916015625
"19/03/2018",17,605,485.858245849609
"19/03/2018",18,1200,608.343933105469
"19/03/2018",19,818,599.167419433594
"19/03/2018",20,711,524.4658203125
"19/03/2018",21,731,485.885498046875
"19/03/2018",22,565,469.368347167969
"19/03/2018",23,382,415.309112548828
"20/03/2018",0,297,214.524307250977
"20/03/2018",1,243,207.836074829102
"20/03/2018",2,165,180.812026977539
"20/03/2018",3,95,109.889015197754
"20/03/2018",4,69,85.8570556640625
"20/03/2018",5,92,67.9721221923828
"20/03/2018",6,235,156.90559387207
"20/03/2018",7,677,459.908142089844
"20/03/2018",8,1212,807.858459472656
"20/03/2018",9,661,413.600372314453
"20/03/2018",10,418,424.114685058594
"20/03/2018",11,488,472.893951416016
"20/03/2018",12,522,529.949035644531
"20/03/2018",13,516,466.801788330078
"20/03/2018",14,478,456.00390625
"20/03/2018",15,492,448.455932617188
"20/03/2018",16,518,448.057067871094
"20/03/2018",17,719,459.044738769531
"20/03/2018",18,1111,538.04931640625
"20/03/2018",19,716,389.383117675781
"20/03/2018",20,543,356.942108154297
"20/03/2018",21,494,305.75830078125
"20/03/2018",22,460,270.218078613281
"20/03/2018",23,294,223.391403198242
"21/03/2018",0,240,195.592086791992
"21/03/2018",1,223,179.98454284668
"21/03/2018",2,147,145.332473754883
"21/03/2018",3,82,70.2577056884766
"21/03/2018",4,70,46.0481376647949
"21/03/2018",5,80,47.3844299316406
"21/03/2018",6,209,95.5252838134766
"21/03/2018",7,605,343.166442871094
"21/03/2018",8,1097,648.517639160156
"21/03/2018",9,614,370.007537841797
"21/03/2018",10,374,368.582946777344
"21/03/2018",11,339,471.574279785156
"21/03/2018",12,333,485.564208984375
"21/03/2018",13,196,393.573486328125
"21/03/2018",14,117,136.198989868164
"21/03/2018",15,184,280.552001953125
"21/03/2018",16,241,444.533355712891
"21/03/2018",17,319,421.752899169922
"21/03/2018",18,615,530.786437988281
"21/03/2018",19,402,392.141143798828
"21/03/2018",20,120,209.835037231445
"21/03/2018",21,231,205.927764892578
"21/03/2018",22,320,348.415679931641
"21/03/2018",23,226,225.770797729492
"22/03/2018",0,243,254.163604736328
"22/03/2018",1,247,174.888229370117
"22/03/2018",2,173,149.348846435547
"22/03/2018",3,107,89.0485610961914
"22/03/2018",4,75,48.5241889953613
"22/03/2018",5,81,170.399520874023
"22/03/2018",6,212,113.529388427734
"22/03/2018",7,600,218.717025756836
"22/03/2018",8,1174,622.003540039062
"22/03/2018",9,653,361.587066650391
"22/03/2018",10,446,375.936889648438
"22/03/2018",11,565,436.258941650391
"22/03/2018",12,668,507.632080078125
"22/03/2018",13,648,535.272705078125
"22/03/2018",14,674,577.674682617188
"22/03/2018",15,758,527.189575195312
"22/03/2018",16,752,548.713500976562
"22/03/2018",17,999,607.692260742188
"22/03/2018",18,1495,649.982360839844
"22/03/2018",19,923,541.587341308594
"22/03/2018",20,739,449.112579345703
"22/03/2018",21,726,389.982574462891
"22/03/2018",22,621,348.910583496094
"22/03/2018",23,428,235.643417358398
"23/03/2018",0,335,201.508377075195
"23/03/2018",1,283,218.699325561523
"23/03/2018",2,216,181.577880859375
"23/03/2018",3,128,107.438743591309
"23/03/2018",4,92,58.2420196533203
"23/03/2018",5,95,69.3626098632812
"23/03/2018",6,243,71.2712631225586
"23/03/2018",7,661,196.706359863281
"23/03/2018",8,1216,485.87353515625
"23/03/2018",9,664,303.143676757812
"23/03/2018",10,461,302.408294677734
"23/03/2018",11,584,395.200317382812
"23/03/2018",12,690,435.564849853516
"23/03/2018",13,682,463.805511474609
"23/03/2018",14,758,479.428894042969
"23/03/2018",15,849,551.190490722656
"23/03/2018",16,901,640.08837890625
"23/03/2018",17,1108,659.110534667969
"23/03/2018",18,1611,710.549011230469
"23/03/2018",19,932,540.564880371094
"23/03/2018",20,724,498.307312011719
"23/03/2018",21,676,404.515991210938
"23/03/2018",22,638,364.824493408203
"23/03/2018",23,422,391.635559082031
"24/03/2018",0,403,233.999542236328
"24/03/2018",1,360,192.921325683594
"24/03/2018",2,305,182.257446289062
"24/03/2018",3,197,121.242218017578
"24/03/2018",4,122,87.5313186645508
"24/03/2018",5,82,80.1491012573242
"24/03/2018",6,113,174.703170776367
"24/03/2018",7,198,389.298278808594
"24/03/2018",8,424,630.207641601562
"24/03/2018",9,456,309.243591308594
"24/03/2018",10,494,301.080169677734
"24/03/2018",11,589,334.266845703125
"24/03/2018",12,806,386.612091064453
"24/03/2018",13,880,429.034210205078
"24/03/2018",14,855,472.244506835938
"24/03/2018",15,1025,484.020812988281
"24/03/2018",16,947,499.712341308594
"24/03/2018",17,916,515.017700195312
"24/03/2018",18,736,606.019226074219
"24/03/2018",19,521,397.960998535156
"24/03/2018",20,513,322.785278320312
"24/03/2018",21,487,310.837921142578
"24/03/2018",22,460,327.248382568359
"24/03/2018",23,354,305.44921875
"25/03/2018",0,372,248.794677734375
"25/03/2018",1,267,224.062301635742
"25/03/2018",2,195,180.574493408203
"25/03/2018",3,139,98.7395401000977
"25/03/2018",4,90,41.3586654663086
"25/03/2018",5,60,32.6308288574219
"25/03/2018",6,71,46.4720497131348
"25/03/2018",7,137,191.843688964844
"25/03/2018",8,225,437.475677490234
"25/03/2018",9,331,358.050170898438
"25/03/2018",10,359,347.523071289062
"25/03/2018",11,466,397.809051513672
"25/03/2018",12,626,398.011688232422
"25/03/2018",13,784,413.022186279297
"25/03/2018",14,882,449.81689453125
"25/03/2018",15,960,467.656890869141
"25/03/2018",16,1031,481.255798339844
"25/03/2018",17,911,547.808654785156
"25/03/2018",18,768,694.365234375
"25/03/2018",19,571,633.484619140625
"25/03/2018",20,502,453.113891601562
"25/03/2018",21,456,404.312072753906
"25/03/2018",22,424,403.431396484375
"25/03/2018",23,336,411.864562988281
"26/03/2018",0,244,230.665390014648
"26/03/2018",1,185,220.347915649414
"26/03/2018",2,93,167.480178833008
"26/03/2018",3,62,100.573394775391
"26/03/2018",4,65,30.4296092987061
"26/03/2018",5,98,28.510160446167
"26/03/2018",6,227,55.3361740112305
"26/03/2018",7,581,85.9516448974609
"26/03/2018",8,983,334.186309814453
"26/03/2018",9,540,403.476745605469
"26/03/2018",10,415,449.401123046875
"26/03/2018",11,422,476.765411376953
"26/03/2018",12,492,512.6279296875
"26/03/2018",13,504,513.497375488281
"26/03/2018",14,575,497.015960693359
"26/03/2018",15,604,525.024841308594
"26/03/2018",16,819,530.588073730469
"26/03/2018",17,925,693.674682617188
"26/03/2018",18,1477,832.8876953125
"26/03/2018",19,1031,698.508178710938
"26/03/2018",20,835,685.254516601562
"26/03/2018",21,798,582.931457519531
"26/03/2018",22,662,574.30810546875
"26/03/2018",23,447,488.097900390625
"27/03/2018",0,380,319.849151611328
"27/03/2018",1,278,268.4345703125
"27/03/2018",2,163,213.248931884766
"27/03/2018",3,127,154.85432434082
"27/03/2018",4,95,60.9715461730957
"27/03/2018",5,110,83.8287506103516
"27/03/2018",6,231,90.8066177368164
"27/03/2018",7,705,389.996856689453
"27/03/2018",8,1201,745.78466796875
"27/03/2018",9,699,365.509338378906
"27/03/2018",10,462,426.38525390625
"27/03/2018",11,560,471.4443359375
"27/03/2018",12,586,551.590148925781
"27/03/2018",13,563,595.203247070312
"27/03/2018",14,618,613.091125488281
"27/03/2018",15,636,633.386047363281
"27/03/2018",16,774,655.241088867188
"27/03/2018",17,960,708.946411132812
"27/03/2018",18,1521,828.78173828125
"27/03/2018",19,1020,722.705139160156
"27/03/2018",20,864,550.4599609375
"27/03/2018",21,866,575.464233398438
"27/03/2018",22,764,510.7783203125
"27/03/2018",23,527,532.502319335938
"28/03/2018",0,400,315.762817382812
"28/03/2018",1,337,313.706085205078
"28/03/2018",2,225,296.175994873047
"28/03/2018",3,150,123.960426330566
"28/03/2018",4,104,85.5493545532227
"28/03/2018",5,107,60.4919052124023
"28/03/2018",6,258,65.556022644043
"28/03/2018",7,741,325.484741210938
"28/03/2018",8,1353,703.883117675781
"28/03/2018",9,723,567.825439453125
"28/03/2018",10,494,562.713256835938
"28/03/2018",11,588,598.7509765625
"28/03/2018",12,629,616.637512207031
"28/03/2018",13,723,641.98095703125
"28/03/2018",14,698,647.03564453125
"28/03/2018",15,785,650.529357910156
"28/03/2018",16,943,646.610900878906
"28/03/2018",17,1221,710.970764160156
"28/03/2018",18,1839,836.48876953125
"28/03/2018",19,1288,770.088256835938
"28/03/2018",20,1133,608.870727539062
"28/03/2018",21,1035,688.581298828125
"28/03/2018",22,907,526.108703613281
"28/03/2018",23,614,453.532653808594
"29/03/2018",0,466,374.019073486328
"29/03/2018",1,390,329.267913818359
"29/03/2018",2,254,287.52294921875
"29/03/2018",3,170,142.826354980469
"29/03/2018",4,109,71.4622497558594
"29/03/2018",5,106,68.6697006225586
"29/03/2018",6,274,73.1095123291016
"29/03/2018",7,781,382.393768310547
"29/03/2018",8,1281,605.653930664062
"29/03/2018",9,757,605.762634277344
"29/03/2018",10,482,595.033264160156
"29/03/2018",11,583,622.399291992188
"29/03/2018",12,714,639.671997070312
"29/03/2018",13,716,631.362854003906
"29/03/2018",14,711,644.182678222656
"29/03/2018",15,781,623.8603515625
"29/03/2018",16,957,613.873901367188
"29/03/2018",17,1194,732.742431640625
"29/03/2018",18,1776,878.142822265625
"29/03/2018",19,1260,821.199829101562
"29/03/2018",20,1079,612.96630859375
"29/03/2018",21,1046,573.071472167969
"29/03/2018",22,949,543.654113769531
"29/03/2018",23,614,558.996887207031
"30/03/2018",0,490,304.269927978516
"30/03/2018",1,401,290.227874755859
"30/03/2018",2,261,305.755157470703
"30/03/2018",3,184,119.947875976562
"30/03/2018",4,115,124.900253295898
"30/03/2018",5,117,58.0194664001465
"30/03/2018",6,284,145.33918762207
"30/03/2018",7,747,488.990753173828
"30/03/2018",8,1406,752.965759277344
"30/03/2018",9,772,478.159423828125
"30/03/2018",10,583,607.4521484375
"30/03/2018",11,739,658.288452148438
"30/03/2018",12,939,569.267517089844
"30/03/2018",13,860,582.51123046875
"30/03/2018",14,965,588.248352050781
"30/03/2018",15,1068,610.946655273438
"30/03/2018",16,1156,604.500305175781
"30/03/2018",17,1460,699.025695800781
"30/03/2018",18,1935,844.998718261719
"30/03/2018",19,1268,741.23095703125
"30/03/2018",20,1045,585.335144042969
"30/03/2018",21,948,606.866577148438
"30/03/2018",22,880,577.944580078125
"30/03/2018",23,678,532.789184570312
