Date,Rented.Bike.Count,Hour,Temperature,Humidity,Wind.speed,Visibility,Dew.point.temperature,Solar.Radiation,Rainfall,Snowfall,Seasons,Holiday,Functioning.Day,RF,XGBoost,Cubist
01/12/2017,426,20,-0.3,79,1.5,1913,-3.5,0,0,0,4,1,1,304.455008,317.7272034,440.7814026
01/12/2017,405,21,-0.8,81,0.8,1687,-3.6,0,0,0,4,1,1,294.6381668,266.4329529,371.0729065
01/12/2017,398,22,-0.9,83,1.5,1380,-3.4,0,0,0,4,1,1,308.7227204,348.4853516,329.8113403
01/12/2017,323,23,-1.3,84,1,1265,-3.6,0,0,0,4,1,1,277.0973691,309.0175781,283.2061462
02/12/2017,328,0,-1.8,87,1.1,994,-3.6,0,0,0,4,1,1,260.8750979,303.7349854,290.6661072
02/12/2017,308,1,-2.2,86,0.6,990,-4.2,0,0,0,4,1,1,246.8330677,298.5328674,261.7502136
02/12/2017,262,2,-2.9,86,1.5,1256,-4.9,0,0,0,4,1,1,202.4681363,240.9828186,230.0879364
02/12/2017,167,3,-3.5,81,2.2,1221,-6.2,0,0,0,4,1,1,120.179963,117.2776184,108.9570618
02/12/2017,89,4,-3.8,79,2,1167,-6.9,0,0,0,4,1,1,90.98949841,72.76385498,62.37987137
02/12/2017,79,5,-4,79,1.5,1202,-7.1,0,0,0,4,1,1,85.05805625,68.21461487,100.8803558
02/12/2017,70,6,-4.3,82,2.1,1178,-6.9,0,0,0,4,1,1,90.03261327,88.25701904,88.71120453
02/12/2017,146,7,-4.4,81,2.5,1276,-7.1,0,0,0,4,1,1,179.4569791,157.3648987,202.9309235
02/12/2017,219,8,-4.2,79,2.1,1436,-7.3,0.01,0,0,4,1,1,415.1890652,499.040863,376.1963501
02/12/2017,328,9,-2.9,68,1.6,1487,-7.9,0.3,0,0,4,1,1,323.6501079,336.8107605,424.7500916
02/12/2017,334,10,-0.4,57,1.6,1309,-7.8,0.8,0,0,4,1,1,318.3254581,294.1622009,347.3545227
02/12/2017,388,11,1.9,49,1.8,1406,-7.7,1,0,0,4,1,1,354.5554468,358.4264221,366.3091736
02/12/2017,479,12,4.3,41,1.3,1666,-7.8,1.09,0,0,4,1,1,421.7815747,431.3215637,444.2576904
02/12/2017,606,13,6,36,1.8,1780,-7.9,1.12,0,0,4,1,1,516.9865912,559.8115234,531.5393066
02/12/2017,611,14,7.3,35,1.3,1955,-7.1,0.99,0,0,4,1,1,527.3523706,596.3043823,575.2910767
02/12/2017,589,15,7.6,41,2.3,1953,-4.8,0.74,0,0,4,1,1,516.1820636,583.4699707,598.7349854
02/12/2017,618,16,6.4,48,2.6,1945,-3.8,0.22,0,0,4,1,1,536.8730463,579.3885498,538.8433228
02/12/2017,572,17,6,51,2.5,1891,-3.3,0.06,0,0,4,1,1,525.2386875,596.1755371,514.7028198
02/12/2017,489,18,5.5,53,1.5,1697,-3.3,0,0,0,4,1,1,435.3283841,495.2898254,479.8427124
02/12/2017,385,19,5,52,2.3,1666,-4,0,0,0,4,1,1,401.9341575,391.5616455,393.9671936
02/12/2017,359,20,4.6,51,1.2,1585,-4.6,0,0,0,4,1,1,370.3553779,369.6809998,336.0239868
02/12/2017,377,21,4.1,55,1.2,1448,-4.1,0,0,0,4,1,1,343.969113,361.2433777,339.1954041
02/12/2017,354,22,3.5,54,1.5,1446,-4.9,0,0,0,4,1,1,326.1024683,318.7991333,318.1044922
02/12/2017,366,23,4,56,1,1352,-4,0,0,0,4,1,1,323.039911,338.9910889,291.9374084
03/12/2017,342,0,4,58,1.4,1296,-3.5,0,0,0,4,1,1,208.7440818,184.4070892,186.1436462
03/12/2017,227,1,3.9,69,1.7,485,-1.2,0,0,0,4,1,1,197.356207,226.0023346,214.8141022
03/12/2017,228,2,3.3,79,1.4,830,0,0,0,0,4,1,1,179.8026209,196.1757202,200.2385864
03/12/2017,117,3,3.4,71,1.6,1011,-1.3,0,0.5,0,4,1,1,113.3047452,88.9213028,101.4193954
03/12/2017,76,4,3.5,73,1,1060,-0.8,0,0,0,4,1,1,96.57798985,41.86904907,37.40136337
03/12/2017,32,5,3.9,75,1.9,914,-0.1,0,0,0,4,1,1,79.27639617,44.1193428,69.90354156
03/12/2017,13,6,3.4,86,2.5,278,1.2,0,1,0,4,1,1,52.817842,29.65956688,60.40504837
03/12/2017,22,7,3.1,91,1.2,129,1.7,0,0,0,4,1,1,60.73008939,46.17082214,163.7938232
03/12/2017,85,8,3.2,92,1.8,244,2,0,0,0,4,1,1,133.6368663,193.3101196,214.4762878
03/12/2017,152,9,3.5,91,1.8,231,2.1,0.02,2.5,0,4,1,1,126.7018853,134.2249756,112.0338745
03/12/2017,200,10,4.4,89,2.2,257,2.7,0.24,0,0,4,1,1,197.4445253,187.5690765,187.4135132
03/12/2017,273,11,5.1,87,1.4,321,3.1,0.25,0,0,4,1,1,240.4818248,242.1829224,224.3117981
03/12/2017,333,12,5.8,85,1.7,349,3.4,0.43,0,0,4,1,1,335.6867214,342.1772766,364.3140259
03/12/2017,495,13,6.8,81,1.9,390,3.7,0.6,0,0,4,1,1,414.5788788,428.5563965,460.7005005
03/12/2017,563,14,7.6,76,1.2,422,3.6,0.69,0,0,4,1,1,514.3468927,558.2285767,537.0630493
03/12/2017,621,15,8,73,1.6,433,3.4,0.53,0,0,4,1,1,525.0783541,581.920105,554.321167
03/12/2017,598,16,7.6,77,1.6,399,3.8,0.2,0,0,4,1,1,531.1489907,594.9475098,573.1538086
03/12/2017,545,17,6.7,82,1.5,358,3.8,0.05,0,0,4,1,1,459.0889096,554.9258423,441.3042603
03/12/2017,443,18,6,84,1.9,327,3.4,0,0,0,4,1,1,334.8727179,451.8493652,384.2860107
03/12/2017,422,19,5.7,85,1.7,309,3.3,0,0,0,4,1,1,335.9213786,409.0010986,353.3917236
03/12/2017,397,20,5.2,87,1.4,253,3.2,0,0,0,4,1,1,303.1150446,298.9460144,339.0896301
03/12/2017,385,21,4.7,87,1.2,247,2.7,0,0,0,4,1,1,305.4602121,352.507019,305.7214966
03/12/2017,350,22,4.3,89,1.8,201,2.6,0,0,0,4,1,1,231.5888196,238.4441528,265.3052063
03/12/2017,303,23,3.9,90,1.3,194,2.4,0,0,0,4,1,1,248.4162097,276.6703491,208.2089996
04/12/2017,285,0,4.2,88,0.6,216,2.3,0,0,0,4,1,1,196.6817228,197.8030243,216.9712524
04/12/2017,186,1,4.3,87,0.5,221,2.3,0,0,0,4,1,1,193.7298574,192.9692688,187.6064301
04/12/2017,112,2,4.4,87,1.8,207,2.4,0,0,0,4,1,1,155.7385495,130.9835052,170.3345337
04/12/2017,65,3,3.6,85,2.3,206,1.3,0,0,0,4,1,1,125.1790393,59.04427719,123.1802673
04/12/2017,41,4,2.8,89,1.5,130,1.1,0,0,0,4,1,1,66.65113292,38.47512054,47.65989304
04/12/2017,82,5,2,83,2.7,253,-0.5,0,0,0,4,1,1,82.91249842,66.70688629,73.66056824
04/12/2017,200,6,1.2,76,3.7,371,-2.5,0,0.1,0,4,1,1,149.4766379,177.8621063,120.6254959
04/12/2017,498,7,0.2,68,3.4,702,-5,0,0,0,4,1,1,357.5212437,379.6559143,358.4022827
04/12/2017,937,8,-0.8,69,3.5,954,-5.7,0.01,0,0,4,1,1,435.252363,491.4786377,516.5410767
04/12/2017,509,9,-1.5,47,4.2,1888,-11.3,0.22,0,0,4,1,1,384.3665761,428.3208618,391.436615
04/12/2017,311,10,-1.1,40,4.5,2000,-13,0.64,0,0,4,1,1,291.690825,320.4566956,310.8981323
04/12/2017,379,11,-0.5,41,4.1,1799,-12.1,0.94,0,0,4,1,1,336.6747014,358.4459229,324.0306702
04/12/2017,393,12,-0.3,38,4.8,1823,-12.9,1.11,0,0,4,1,1,339.2866591,353.0679932,356.2741089
04/12/2017,391,13,0,30,5.4,1938,-15.5,1.17,0,0,4,1,1,346.3470756,368.8745422,345.2416077
04/12/2017,338,14,0.1,27,4.5,2000,-16.7,1.09,0,0,4,1,1,324.5750985,323.3899231,320.4606628
04/12/2017,341,15,-0.1,25,5.8,2000,-17.8,0.88,0,0,4,1,1,337.8961442,334.240387,322.6148071
04/12/2017,375,16,-0.2,23,4.7,2000,-18.8,0.55,0,0,4,1,1,303.2555693,293.7634583,307.4151611
04/12/2017,515,17,-1.3,26,5.3,2000,-18.3,0.18,0,0,4,1,1,421.4411617,435.0927124,335.9772339
04/12/2017,807,18,-2.1,29,3.9,2000,-17.7,0,0,0,4,1,1,365.6952487,405.931366,314.2184448
04/12/2017,568,19,-2.9,32,3.2,2000,-17.3,0,0,0,4,1,1,338.980086,327.8656006,280.6767578
04/12/2017,398,20,-3.6,38,3,2000,-15.8,0,0,0,4,1,1,290.2566652,264.5140381,323.1829529
04/12/2017,397,21,-4.6,43,4.5,2000,-15.3,0,0,0,4,1,1,295.143482,315.4250488,259.1551514
04/12/2017,353,22,-5.3,45,2.5,2000,-15.3,0,0,0,4,1,1,265.2893653,278.2503052,272.3893738
04/12/2017,248,23,-5.8,44,2.4,2000,-16.1,0,0,0,4,1,1,197.1837033,162.7823486,206.9113617
05/12/2017,216,0,-6.1,42,2.6,2000,-16.9,0,0,0,4,1,1,168.2651869,165.6657867,181.17276
05/12/2017,198,1,-6.5,41,2.8,2000,-17.6,0,0,0,4,1,1,165.4866865,182.230484,151.4451904
05/12/2017,124,2,-6.8,41,2.5,2000,-17.8,0,0,0,4,1,1,115.7083001,138.2021332,119.1254959
05/12/2017,62,3,-6.9,39,2,2000,-18.5,0,0,0,4,1,1,83.1212532,85.89263153,61.89100266
05/12/2017,42,4,-7.2,34,3,2000,-20.4,0,0,0,4,1,1,59.83989974,70.01407623,45.76965332
05/12/2017,82,5,-7.4,33,2.6,2000,-20.9,0,0,0,4,1,1,68.22180535,77.28462219,72.612854
05/12/2017,172,6,-7.4,34,3.2,2000,-20.6,0,0,0,4,1,1,76.09095807,129.345871,69.51691437
05/12/2017,381,7,-7.5,33,2.2,2000,-21,0,0,0,4,1,1,254.3359858,274.9305115,235.8110352
05/12/2017,812,8,-8.1,36,1.6,2000,-20.5,0.01,0,0,4,1,1,466.6827239,482.0458679,484.9527283
05/12/2017,462,9,-7.6,31,1.3,1974,-21.8,0.21,0,0,4,1,1,224.1850317,324.9848633,373.363678
05/12/2017,269,10,-5.5,26,2.8,1967,-22,0.64,0,0,4,1,1,229.5928948,205.6106262,210.5709839
05/12/2017,334,11,-3.9,25,0,1959,-21,0,0,0,4,1,1,317.8178147,329.4555664,321.3001404
05/12/2017,321,12,-2.3,25,0,1962,-19.7,0,0,0,4,1,1,362.3131062,316.5488586,347.2969666
05/12/2017,325,13,-1.6,27,0,1955,-18.2,0,0,0,4,1,1,362.8974185,307.0223694,376.3218689
05/12/2017,334,14,-1.1,28,0,2000,-17.3,0,0,0,4,1,1,430.6270024,364.4154053,369.311554
05/12/2017,353,15,-0.7,28,0,2000,-16.9,0,0,0,4,1,1,442.3744117,386.0748901,379.6082764
05/12/2017,435,16,-0.5,30,0,2000,-16,0,0,0,4,1,1,450.6094091,427.3822632,445.3564453
05/12/2017,529,17,-1.6,35,0,2000,-15.1,0,0,0,4,1,1,483.0638131,528.5315552,543.2203369
05/12/2017,789,18,-2.6,40,0,2000,-14.4,0,0,0,4,1,1,561.0769951,760.7412109,683.6754761
05/12/2017,597,19,-3.2,45,0,2000,-13.5,0,0,0,4,1,1,507.2638897,581.1321411,568.5097046
05/12/2017,418,20,-3.5,46,0,2000,-13.4,0,0,0,4,1,1,416.9841694,445.3468933,459.796814
05/12/2017,415,21,-3.7,47,0,2000,-13.3,0,0,0,4,1,1,391.9563217,432.6089478,427.5396729
05/12/2017,393,22,-2.8,49,0,2000,-12,0,0,0,4,1,1,397.7313674,410.1293945,399.3136597
05/12/2017,244,23,-2.5,59,0,1210,-9.4,0,0,0,4,1,1,276.6507443,244.2632599,256.1687927
06/12/2017,145,0,-2.8,77,0,331,-6.2,0,0.1,0.1,4,1,1,156.0366851,133.5076752,162.7902832
06/12/2017,144,1,-3,79,0,293,-6.1,0,0,0.3,4,1,1,148.7936489,132.0189056,137.6407166
06/12/2017,117,2,-3,79,0,1862,-6.1,0,0,0.4,4,1,1,119.7252558,121.5304031,148.7167816
06/12/2017,78,3,-3.2,78,0,1808,-6.4,0,0.2,0.4,4,1,1,98.71041946,73.73874664,101.8971558
06/12/2017,58,4,-3.4,75,0,1982,-7.2,0,0,0.4,4,1,1,92.27166901,59.40036392,70.10571289
06/12/2017,87,5,-3.6,76,0,1934,-7.2,0,0,0.4,4,1,1,100.555872,77.02148438,91.35723877
06/12/2017,142,6,-3.7,76,0,1864,-7.3,0,0,0.4,4,1,1,119.3188655,129.5786743,111.3983307
06/12/2017,379,7,-4.2,77,0,1741,-7.6,0,0,0.3,4,1,1,334.5442289,388.4136963,412.3792725
06/12/2017,802,8,-4.2,78,0,1518,-7.4,0.01,0,0.2,4,1,1,602.9865967,741.4064941,604.1610718
06/12/2017,440,9,-3.3,70,0,1324,-7.9,0.25,0,0.2,4,1,1,406.704728,448.043396,448.7286072
06/12/2017,307,10,-0.9,64,0,1224,-6.8,0.63,0,0.2,4,1,1,351.5172012,350.9892273,282.3490906
06/12/2017,381,11,1.6,57,1.2,1261,-6,0.93,0,0,4,1,1,339.8126378,339.5430298,375.4146423
06/12/2017,405,12,2.4,52,0.9,1224,-6.4,1.08,0,0,4,1,1,368.2113751,382.9346008,384.2781982
06/12/2017,442,13,4.2,47,1.1,1469,-6.1,1.1,0,0,4,1,1,397.4789949,423.4076843,410.2190247
06/12/2017,416,14,5.5,34,1,1966,-9.1,0.96,0,0,4,1,1,429.3578152,433.9141846,495.1989136
06/12/2017,412,15,5.5,31,3.1,1968,-10.3,0.72,0,0,4,1,1,446.028,452.0605164,470.0420227
06/12/2017,496,16,5.3,37,2.9,2000,-8.2,0.36,0,0,4,1,1,467.6782579,469.648468,463.2956848
06/12/2017,239,17,4.1,60,2.5,1565,-2.9,0.1,0,0,4,1,1,348.0185865,316.0606689,384.7000122
06/12/2017,204,18,1.7,90,1,66,0.2,0,0.3,0.3,4,1,1,145.0531429,186.1449432,98.82255554
06/12/2017,205,19,1.2,92,0.7,180,0,0,0,1,4,1,1,193.0823355,190.131012,198.3052063
06/12/2017,190,20,1.2,94,0.6,228,0.3,0,0,1,4,1,1,190.7974831,184.0286102,210.6494904
06/12/2017,165,21,1.1,92,0.5,235,0,0,0.7,1,4,1,1,167.0961204,172.9349823,199.8299561
06/12/2017,222,22,1.3,92,0.6,233,0.1,0,0,1,4,1,1,197.9959228,199.6584167,189.028183
06/12/2017,193,23,1.3,92,0.6,209,0.1,0,0,1,4,1,1,196.2993542,205.8591309,176.8279724
07/12/2017,198,0,1.4,92,0.5,240,0.2,0,0,0.9,4,1,1,186.6996038,206.4277649,208.6548462
07/12/2017,218,1,1.5,92,0.4,227,0.3,0,0,0.9,4,1,1,182.1588127,208.023819,188.1747131
07/12/2017,149,2,1.4,92,0.7,168,0.2,0,0,0.9,4,1,1,132.5370333,146.3489685,159.5853119
07/12/2017,102,3,1.9,91,1.4,218,0.5,0,0,0.9,4,1,1,95.01608683,103.7336807,112.4394226
07/12/2017,62,4,1.6,92,0.7,119,0.4,0,0,0.9,4,1,1,80.67578134,49.67556,66.45896149
07/12/2017,83,5,1.5,92,1.1,175,0.3,0,0,0.9,4,1,1,88.38632821,83.05324554,86.12913513
07/12/2017,137,6,1,93,0.5,148,0,0,0,0.9,4,1,1,125.4958551,121.3235474,156.0246429
07/12/2017,367,7,0.3,93,0.5,173,-0.7,0,0,0.9,4,1,1,291.3366525,374.8710938,357.8606262
07/12/2017,754,8,-0.2,96,0.8,173,-0.7,0.01,0,0.8,4,1,1,483.214247,698.9532471,510.7158508
07/12/2017,415,9,0.1,91,0.8,265,-1.1,0.14,0,0.8,4,1,1,311.6938121,389.0909424,401.0991211
07/12/2017,321,10,1.1,83,0.7,311,-1.4,0.41,0,0.7,4,1,1,271.1630866,287.0922852,409.0621948
07/12/2017,333,11,2.3,69,1.7,628,-2.8,0.63,0,0.6,4,1,1,302.8769921,313.4859009,290.923645
07/12/2017,431,12,3.7,65,2.4,833,-2.2,0.98,0,0.3,4,1,1,363.7624087,391.2094116,339.1086426
07/12/2017,394,13,4.1,37,3.1,1767,-9.3,1.14,0,0,4,1,1,398.4916591,392.4572449,415.9885559
07/12/2017,390,14,4.4,36,2.7,1975,-9.4,1.04,0,0,4,1,1,405.5798241,383.8547668,427.3042603
07/12/2017,430,15,4,35,3.1,1962,-10.1,0.84,0,0,4,1,1,421.4008391,412.3859253,422.7571411
07/12/2017,471,16,3.2,38,2.9,1817,-9.7,0.51,0,0,4,1,1,416.203554,427.7640991,441.5179443
07/12/2017,552,17,2.1,50,2,1434,-7.2,0.15,0,0,4,1,1,455.5484916,445.6616821,501.3887634
07/12/2017,795,18,0.7,46,2.7,1558,-9.6,0,0,0,4,1,1,392.775113,487.4796753,456.7176819
07/12/2017,507,19,-0.4,47,2.5,1269,-10.3,0,0,0,4,1,1,387.9257202,400.7640076,403.119873
07/12/2017,390,20,-1.4,47,2.5,1620,-11.2,0,0,0,4,1,1,320.2204822,324.1460266,348.7229309
07/12/2017,402,21,-2.2,46,2.2,1975,-12.2,0,0,0,4,1,1,287.7905741,301.8504944,325.4805908
07/12/2017,389,22,-2.7,48,2.6,1844,-12.2,0,0,0,4,1,1,307.1213994,298.6313782,330.2030334
07/12/2017,259,23,-3.2,50,2.1,1887,-12.1,0,0,0,4,1,1,240.7332205,240.8099976,256.5871277
08/12/2017,233,0,-3.5,49,2.6,1893,-12.6,0,0,0,4,1,1,204.8707035,208.4145508,231.284317
08/12/2017,230,1,-3.7,50,2.5,1902,-12.6,0,0,0,4,1,1,197.9968352,201.6669159,193.0940704
08/12/2017,131,2,-4.3,53,1,1918,-12.4,0,0,0,4,1,1,135.5100415,119.6595764,174.0380402
08/12/2017,99,3,-4.8,52,1.6,1978,-13.1,0,0,0,4,1,1,105.070956,102.4069595,89.40625
08/12/2017,71,4,-5.3,53,2.4,1936,-13.4,0,0,0,4,1,1,93.2491772,70.512146,68.27602386
08/12/2017,84,5,-5.8,56,2,1941,-13.1,0,0,0,4,1,1,90.38698911,67.10347748,73.52850342
08/12/2017,158,6,-6,56,3.5,1853,-13.3,0,0,0,4,1,1,123.8492791,122.9276886,116.0609589
08/12/2017,387,7,-6.5,57,0.8,1776,-13.6,0,0,0,4,1,1,255.8511399,279.1907959,210.7452545
08/12/2017,780,8,-7,59,0.8,1559,-13.6,0.01,0,0,4,1,1,422.5736079,483.3210449,360.4214172
08/12/2017,395,9,-6.7,50,0.9,1492,-15.4,0.23,0,0,4,1,1,322.0670062,320.8328552,304.7029419
08/12/2017,261,10,-5.3,44,2.8,1516,-15.6,0.63,0,0,4,1,1,240.7950512,209.5806427,218.8488922
08/12/2017,310,11,-3.7,39,1.4,1595,-15.6,0.93,0,0,4,1,1,281.6767609,299.4335632,254.9185028
08/12/2017,355,12,-2,30,1.4,1728,-17.3,1.14,0,0,4,1,1,309.3766855,308.3833313,302.4971313
08/12/2017,354,13,-1.7,28,1.8,1963,-17.8,1.22,0,0,4,1,1,271.0352865,296.9169312,299.5308838
08/12/2017,350,14,-1.3,27,3.1,1906,-17.9,1.12,0,0,4,1,1,297.3649864,297.7287903,293.1879883
08/12/2017,362,15,-0.8,26,3.3,1977,-17.9,0.87,0,0,4,1,1,309.34602,293.9185791,310.7268982
08/12/2017,401,16,-1.1,24,3.4,2000,-19.1,0.56,0,0,4,1,1,329.6638127,323.0103455,302.4761047
08/12/2017,500,17,-2.4,30,2.7,2000,-17.6,0.18,0,0,4,1,1,417.1520493,420.2687073,379.1618042
08/12/2017,752,18,-3.1,33,1.2,2000,-17.1,0,0,0,4,1,1,515.3184661,589.3355103,549.4233398
08/12/2017,477,19,-3.3,35,1.1,2000,-16.6,0,0,0,4,1,1,405.6456772,406.4143677,462.8388977
08/12/2017,384,20,-3.3,34,1.5,2000,-16.9,0,0,0,4,1,1,327.2509147,333.4475708,360.7639771
08/12/2017,336,21,-3.3,35,0.5,2000,-16.6,0,0,0,4,1,1,312.2407628,299.9258728,300.2809753
08/12/2017,347,22,-3.4,39,1.2,2000,-15.4,0,0,0,4,1,1,293.1942964,317.6922913,309.9586182
08/12/2017,275,23,-3.5,43,0.9,2000,-14.3,0,0,0,4,1,1,243.5458949,259.733551,226.6138153
09/12/2017,267,0,-3.5,48,0.9,1967,-12.9,0,0,0,4,1,1,202.5606176,221.1746521,247.3031464
09/12/2017,296,1,-4.1,49,0.6,2000,-13.2,0,0,0,4,1,1,205.0826126,215.556015,237.6996155
09/12/2017,237,2,-4.7,50,0.7,1983,-13.5,0,0,0,4,1,1,164.2543523,173.1631165,195.9775391
09/12/2017,169,3,-4.3,47,0.6,1992,-13.9,0,0,0,4,1,1,125.290187,115.7809372,160.2328186
09/12/2017,96,4,-4.3,49,0.7,2000,-13.4,0,0,0,4,1,1,99.98149137,99.3146286,123.750473
09/12/2017,56,5,-4.7,49,0.8,1999,-13.8,0,0,0,4,1,1,88.60352068,75.35359955,94.61682892
09/12/2017,76,6,-5.1,53,0.9,1975,-13.2,0,0,0,4,1,1,96.01048114,107.2095642,73.00403595
09/12/2017,127,7,-5.5,56,0.8,1950,-12.9,0,0,0,4,1,1,184.5247501,179.3058319,212.7758331
09/12/2017,222,8,-5.4,56,0.7,1940,-12.8,0.01,0,0,4,1,1,295.453748,317.2826843,359.6648865
09/12/2017,291,9,-4.7,48,1,1784,-14,0.23,0,0,4,1,1,293.6345364,288.2723694,327.5891418
09/12/2017,273,10,-2.2,42,1.3,1646,-13.4,0.61,0,0,4,1,1,263.4792455,248.8128662,261.3669739
09/12/2017,351,11,0,45,1.1,1500,-10.5,0.89,0,0,4,1,1,318.2956814,338.01474,259.3488159
09/12/2017,427,12,2.4,40,0.8,1809,-9.8,1.05,0,0,4,1,1,366.2130188,382.2738037,365.9528809
09/12/2017,431,13,3.9,36,2,1702,-9.8,1.13,0,0,4,1,1,408.3660042,419.6618958,447.2749634
09/12/2017,486,14,4.7,32,2.2,1948,-10.6,1.06,0,0,4,1,1,441.3762204,479.1867981,476.6428528
09/12/2017,569,15,5.2,30,2,1963,-11,0.84,0,0,4,1,1,487.2322925,515.256897,496.9651794
09/12/2017,546,16,4.4,33,1.6,1963,-10.5,0.4,0,0,4,1,1,476.572033,498.5445557,483.0040894
09/12/2017,481,17,3.5,37,1.8,1963,-9.8,0.1,0,0,4,1,1,466.5931444,460.4789124,455.2791748
09/12/2017,384,18,2.5,41,1,1974,-9.4,0,0,0,4,1,1,426.4752705,577.1201782,491.1785889
09/12/2017,275,19,1.5,48,0.4,1878,-8.3,0,0,0,4,1,1,309.1065972,294.8384399,348.4474182
09/12/2017,298,20,0.8,51,1.4,1848,-8.2,0,0,0,4,1,1,279.187886,307.2270508,304.4440613
09/12/2017,321,21,-0.1,55,0.7,1654,-8,0,0,0,4,1,1,289.875949,298.9354553,312.8940125
09/12/2017,289,22,-0.5,55,0.6,1655,-8.4,0,0,0,4,1,1,277.306742,270.017334,292.0210266
09/12/2017,265,23,-0.1,54,1.3,1570,-8.3,0,0,0,4,1,1,243.3832187,228.1179962,267.6125488
10/12/2017,326,0,-0.2,55,1,1629,-8.1,0,0,0,4,1,1,230.0931836,256.5770569,237.8930664
10/12/2017,280,1,-0.2,54,0.5,1747,-8.4,0,0,0,4,1,1,216.6433739,230.7003174,222.7670746
10/12/2017,243,2,0.2,52,0.7,1726,-8.5,0,0,0,4,1,1,187.2702323,211.2471771,205.8278046
10/12/2017,169,3,0.3,53,0.5,1748,-8.1,0,0,0,4,1,1,126.8578419,111.3881302,152.1667328
10/12/2017,71,4,0.4,52,1.6,1816,-8.3,0,0,0,4,1,1,102.1711155,105.1186752,123.8337021
10/12/2017,13,5,0.3,74,1,178,-3.7,0,0,0.7,4,1,1,55.2736492,15.71042824,46.83444977
10/12/2017,9,6,-0.5,90,0.9,91,-1.9,0,2.5,2.7,4,1,1,75.35624646,23.02856636,44.8646965
10/12/2017,20,7,-0.4,92,1.1,121,-1.5,0,0,4,4,1,1,51.73814045,28.0389576,70.06341553
10/12/2017,35,8,-0.2,90,1.2,378,-1.6,0,0,4.1,4,1,1,98.60283318,71.89870453,152.5339203
10/12/2017,31,9,0.2,90,1,305,-1.2,0,1.6,4.3,4,1,1,75.83411018,49.21958923,54.30008698
10/12/2017,19,10,0.5,91,0.4,143,-0.8,0,0,4.3,4,1,1,59.71581977,14.99063969,63.90504837
10/12/2017,58,11,0.9,92,0.9,137,-0.2,0.03,0,3.9,4,1,1,78.55501314,55.66091537,68.32356262
10/12/2017,119,12,2.3,88,0.3,245,0.5,0.28,0,3.1,4,1,1,168.2528648,117.9779968,155.3013306
10/12/2017,182,13,3.3,87,1.1,230,1.3,0.54,0,2.1,4,1,1,188.8881983,160.0680542,208.0556488
10/12/2017,235,14,4.2,85,0.7,325,1.8,0.65,0,1.4,4,1,1,207.0755008,219.2933502,292.3363037
10/12/2017,180,15,6.7,63,4.5,715,0.1,0.35,0,1,4,1,1,241.2380283,191.340271,241.8832703
10/12/2017,214,16,5.4,71,3.5,622,0.5,0.2,0,0.5,4,1,1,251.6332778,234.4893646,221.7922668
