"Test[not.NA.test.row.index, 1]","Test[not.NA.test.row.index, 3]","Test[not.NA.test.row.index, 2]","predict(XGB, Test[not.NA.test.row.index, 2:14])"
"03/03/2018",7,159,295.073333740234
"03/03/2018",8,306,581.450988769531
"03/03/2018",9,329,346.563049316406
"03/03/2018",10,354,306.792053222656
"03/03/2018",11,431,522.465148925781
"03/03/2018",12,605,470.905609130859
"03/03/2018",13,771,511.447021484375
"03/03/2018",14,1025,499.282470703125
"03/03/2018",15,1238,583.377075195312
"03/03/2018",16,1285,628.114807128906
"03/03/2018",17,1197,699.652465820312
"03/03/2018",18,920,776.042358398438
"03/03/2018",19,630,722.479553222656
"03/03/2018",20,631,540.617004394531
"03/03/2018",21,588,544.652954101562
"03/03/2018",22,516,594.8818359375
"03/03/2018",23,215,527.123718261719
"04/03/2018",0,161,354.518005371094
"04/03/2018",1,118,307.979553222656
"04/03/2018",2,95,249.694229125977
"04/03/2018",3,90,208.773391723633
"04/03/2018",4,34,170.165802001953
"04/03/2018",5,15,176.269714355469
"04/03/2018",6,20,205.644546508789
"04/03/2018",7,23,175.29850769043
"04/03/2018",8,70,499.293823242188
"04/03/2018",9,157,296.240234375
"04/03/2018",10,239,309.423431396484
"04/03/2018",11,273,394.878326416016
"04/03/2018",12,358,490.025238037109
"04/03/2018",13,429,537.045349121094
"04/03/2018",14,475,577.135986328125
"04/03/2018",15,468,582.974609375
"04/03/2018",16,396,574.607727050781
"04/03/2018",17,492,579.506591796875
"04/03/2018",18,436,663.235778808594
"04/03/2018",19,289,568.066650390625
"04/03/2018",20,26,585.825561523438
"04/03/2018",21,7,410.704895019531
"04/03/2018",22,8,304.113647460938
"04/03/2018",23,9,286.857238769531
"05/03/2018",0,22,230.955337524414
"05/03/2018",1,23,372.875030517578
"05/03/2018",2,9,246.008819580078
"05/03/2018",3,2,167.205230712891
"05/03/2018",4,4,29.6060390472412
"05/03/2018",5,22,30.0492210388184
"05/03/2018",6,20,30.7446155548096
"05/03/2018",7,85,254.834335327148
"05/03/2018",8,184,365.411743164062
"05/03/2018",9,211,337.239929199219
"05/03/2018",10,232,423.215759277344
"05/03/2018",11,322,477.281585693359
"05/03/2018",12,438,466.166900634766
"05/03/2018",13,465,548.085144042969
"05/03/2018",14,550,599.942504882812
"05/03/2018",15,637,601.782165527344
"05/03/2018",16,718,624.134887695312
"05/03/2018",17,865,716.556884765625
"05/03/2018",18,1155,761.893981933594
"05/03/2018",19,782,500.779724121094
"05/03/2018",20,578,389.922607421875
"05/03/2018",21,533,370.789276123047
"05/03/2018",22,466,334.898773193359
"05/03/2018",23,274,217.109359741211
"06/03/2018",0,224,295.587768554688
"06/03/2018",1,188,333.394714355469
"06/03/2018",2,122,304.623291015625
"06/03/2018",3,82,189.771743774414
"06/03/2018",4,79,132.223541259766
"06/03/2018",5,80,130.401336669922
"06/03/2018",6,214,72.4402084350586
"06/03/2018",7,583,185.208251953125
"06/03/2018",8,997,448.417999267578
"06/03/2018",9,556,333.849517822266
"06/03/2018",10,380,282.122528076172
"06/03/2018",11,475,401.065368652344
"06/03/2018",12,504,568.743286132812
"06/03/2018",13,528,564.957702636719
"06/03/2018",14,567,582.607238769531
"06/03/2018",15,616,518.64501953125
"06/03/2018",16,680,629.690368652344
"06/03/2018",17,883,648.492858886719
"06/03/2018",18,1246,758.121826171875
"06/03/2018",19,833,717.137329101562
"06/03/2018",20,666,515.649475097656
"06/03/2018",21,625,485.001251220703
"06/03/2018",22,514,398.677124023438
"06/03/2018",23,361,300.139526367188
"07/03/2018",0,289,253.101745605469
"07/03/2018",1,194,198.527725219727
"07/03/2018",2,134,164.379776000977
"07/03/2018",3,92,131.834823608398
"07/03/2018",4,49,91.4937591552734
"07/03/2018",5,97,63.4608345031738
"07/03/2018",6,232,126.614631652832
"07/03/2018",7,598,396.595581054688
"07/03/2018",8,1032,627.968872070312
"07/03/2018",9,566,352.604125976562
"07/03/2018",10,410,358.892639160156
"07/03/2018",11,441,514.969604492188
"07/03/2018",12,550,547.224670410156
"07/03/2018",13,509,566.396606445312
"07/03/2018",14,505,558.588562011719
"07/03/2018",15,620,615.455322265625
"07/03/2018",16,646,624.437744140625
"07/03/2018",17,849,645.757202148438
"07/03/2018",18,1365,827.50830078125
"07/03/2018",19,799,724.252319335938
"07/03/2018",20,587,602.018249511719
"07/03/2018",21,411,552.809509277344
"07/03/2018",22,147,579.416381835938
"07/03/2018",23,48,347.839996337891
"08/03/2018",0,49,272.568725585938
"08/03/2018",1,23,266.127380371094
"08/03/2018",2,19,151.879043579102
"08/03/2018",3,12,88.8051528930664
"08/03/2018",4,8,33.4383163452148
"08/03/2018",5,17,29.1548194885254
"08/03/2018",6,32,17.6147766113281
"08/03/2018",7,64,141.267974853516
"08/03/2018",8,88,174.028717041016
"08/03/2018",9,100,124.922012329102
"08/03/2018",10,165,87.76611328125
"08/03/2018",11,290,280.475769042969
"08/03/2018",12,375,350.47412109375
"08/03/2018",13,405,383.064300537109
"08/03/2018",14,452,432.142425537109
"08/03/2018",15,555,436.256958007812
"08/03/2018",16,594,401.668426513672
"08/03/2018",17,757,396.678771972656
"08/03/2018",18,1091,494.393981933594
"08/03/2018",19,683,390.259887695312
"08/03/2018",20,586,260.716552734375
"08/03/2018",21,533,261.31298828125
"08/03/2018",22,498,251.467697143555
"08/03/2018",23,315,183.073776245117
"09/03/2018",0,272,198.824127197266
"09/03/2018",1,228,195.373199462891
"09/03/2018",2,155,153.066787719727
"09/03/2018",3,105,97.0006332397461
"09/03/2018",4,66,66.8839797973633
"09/03/2018",5,88,58.6244812011719
"09/03/2018",6,195,112.532012939453
"09/03/2018",7,574,264.696319580078
"09/03/2018",8,1041,614.646606445312
"09/03/2018",9,570,363.524353027344
"09/03/2018",10,361,297.061981201172
"09/03/2018",11,444,411.3916015625
"09/03/2018",12,510,446.529541015625
"09/03/2018",13,509,501.847290039062
"09/03/2018",14,542,530.93603515625
"09/03/2018",15,611,400.311584472656
"09/03/2018",16,686,449.0732421875
"09/03/2018",17,834,542.814086914062
"09/03/2018",18,1231,656.820190429688
"09/03/2018",19,718,446.717407226562
"09/03/2018",20,535,343.352630615234
"09/03/2018",21,537,297.086120605469
"09/03/2018",22,521,305.761749267578
"09/03/2018",23,309,201.347763061523
"10/03/2018",0,328,208.803176879883
"10/03/2018",1,305,218.174697875977
"10/03/2018",2,241,152.056900024414
"10/03/2018",3,139,119.417373657227
"10/03/2018",4,91,104.53874206543
"10/03/2018",5,79,46.7824211120605
"10/03/2018",6,74,92.6411895751953
"10/03/2018",7,208,208.839691162109
"10/03/2018",8,340,428.7490234375
"10/03/2018",9,381,327.313415527344
"10/03/2018",10,416,295.960174560547
"10/03/2018",11,497,385.459197998047
"10/03/2018",12,650,399.013244628906
"10/03/2018",13,757,438.246978759766
"10/03/2018",14,906,508.515991210938
"10/03/2018",15,931,603.636047363281
"10/03/2018",16,972,584.245483398438
"10/03/2018",17,829,603.838195800781
"10/03/2018",18,664,585.571716308594
"10/03/2018",19,573,437.304718017578
"10/03/2018",20,447,390.703918457031
"10/03/2018",21,470,349.656921386719
"10/03/2018",22,421,345.789245605469
"10/03/2018",23,345,306.041625976562
"11/03/2018",0,376,264.304870605469
"11/03/2018",1,222,265.265228271484
"11/03/2018",2,171,164.312911987305
"11/03/2018",3,115,110.438911437988
"11/03/2018",4,80,77.4152145385742
"11/03/2018",5,45,70.8563003540039
"11/03/2018",6,63,84.2516098022461
"11/03/2018",7,119,133.009582519531
"11/03/2018",8,212,335.575408935547
"11/03/2018",9,289,293.01513671875
"11/03/2018",10,394,288.670806884766
"11/03/2018",11,425,326.122741699219
"11/03/2018",12,666,325.887603759766
"11/03/2018",13,843,439.310607910156
"11/03/2018",14,1154,550.874877929688
"11/03/2018",15,1294,554.167785644531
"11/03/2018",16,1205,591.565612792969
"11/03/2018",17,1028,651.361206054688
"11/03/2018",18,776,754.339538574219
"11/03/2018",19,596,671.053771972656
"11/03/2018",20,530,593.010192871094
"11/03/2018",21,533,451.029418945312
"11/03/2018",22,419,429.886322021484
"11/03/2018",23,288,344.278442382812
"12/03/2018",0,222,265.697601318359
"12/03/2018",1,163,234.186614990234
"12/03/2018",2,95,148.041732788086
"12/03/2018",3,60,126.125
"12/03/2018",4,47,88.583366394043
"12/03/2018",5,106,-55.1991844177246
"12/03/2018",6,261,128.17887878418
"12/03/2018",7,662,225.715850830078
"12/03/2018",8,1066,638.850891113281
"12/03/2018",9,604,396.127471923828
"12/03/2018",10,406,344.621520996094
"12/03/2018",11,463,432.229248046875
"12/03/2018",12,581,400.869842529297
"12/03/2018",13,588,371.53955078125
"12/03/2018",14,603,372.460021972656
"12/03/2018",15,694,388.121704101562
"12/03/2018",16,752,432.529541015625
"12/03/2018",17,931,442.151794433594
"12/03/2018",18,1425,631.259094238281
"12/03/2018",19,946,563.144958496094
"12/03/2018",20,801,480.865692138672
"12/03/2018",21,771,477.918060302734
"12/03/2018",22,695,441.896148681641
"12/03/2018",23,397,526.537170410156
"13/03/2018",0,309,283.970886230469
"13/03/2018",1,231,275.536743164062
"13/03/2018",2,161,261.794494628906
"13/03/2018",3,103,193.559448242188
"13/03/2018",4,88,126.107971191406
"13/03/2018",5,97,172.901519775391
"13/03/2018",6,252,236.597930908203
"13/03/2018",7,668,331.722778320312
"13/03/2018",8,1215,598.182678222656
"13/03/2018",9,616,337.77685546875
"13/03/2018",10,428,288.625823974609
"13/03/2018",11,571,364.731567382812
"13/03/2018",12,626,427.903656005859
"13/03/2018",13,678,463.182983398438
"13/03/2018",14,705,556.201171875
"13/03/2018",15,815,513.594909667969
"13/03/2018",16,890,553.404418945312
"13/03/2018",17,1085,540.810180664062
"13/03/2018",18,1749,683.251403808594
"13/03/2018",19,1224,577.797912597656
"13/03/2018",20,986,531.673767089844
"13/03/2018",21,982,520.695617675781
"13/03/2018",22,912,471.140045166016
"13/03/2018",23,572,423.439300537109
"14/03/2018",0,412,364.120849609375
"14/03/2018",1,309,360.091064453125
"14/03/2018",2,226,323.381774902344
"14/03/2018",3,142,211.917083740234
"14/03/2018",4,82,238.088195800781
"14/03/2018",5,123,245.908966064453
"14/03/2018",6,290,295.661315917969
"14/03/2018",7,786,450.075134277344
"14/03/2018",8,1371,688.381286621094
"14/03/2018",9,761,507.769104003906
"14/03/2018",10,552,491.798950195312
"14/03/2018",11,643,504.071258544922
"14/03/2018",12,813,521.204467773438
"14/03/2018",13,789,515.795043945312
"14/03/2018",14,878,592.353088378906
"14/03/2018",15,1025,582.768188476562
"14/03/2018",16,1049,658.785034179688
"14/03/2018",17,1325,678.767333984375
"14/03/2018",18,2100,724.048522949219
"14/03/2018",19,1478,641.425659179688
"14/03/2018",20,1275,548.054321289062
"14/03/2018",21,1181,584.172485351562
"14/03/2018",22,983,581.731201171875
"14/03/2018",23,587,503.973419189453
"15/03/2018",0,466,280.037048339844
"15/03/2018",1,355,319.946228027344
"15/03/2018",2,203,317.425140380859
"15/03/2018",3,51,214.745574951172
"15/03/2018",4,9,236.414276123047
"15/03/2018",5,8,206.208694458008
"15/03/2018",6,10,213.0302734375
"15/03/2018",7,15,224.25651550293
"15/03/2018",8,39,330.626922607422
"15/03/2018",9,32,290.879974365234
"15/03/2018",10,27,311.546875
"15/03/2018",11,65,292.518737792969
"15/03/2018",12,204,211.692901611328
"15/03/2018",13,269,289.508209228516
"15/03/2018",14,289,324.584259033203
"15/03/2018",15,329,206.760467529297
"15/03/2018",16,214,329.333068847656
"15/03/2018",17,411,329.311462402344
"15/03/2018",18,676,182.242660522461
"15/03/2018",19,606,365.137908935547
"15/03/2018",20,533,370.858184814453
"15/03/2018",21,567,290.130401611328
"15/03/2018",22,506,324.627349853516
"15/03/2018",23,343,331.365386962891
"16/03/2018",0,287,422.829040527344
"16/03/2018",1,278,419.276184082031
"16/03/2018",2,178,347.270141601562
"16/03/2018",3,102,206.960891723633
"16/03/2018",4,85,158.610458374023
"16/03/2018",5,85,120.411987304688
"16/03/2018",6,222,140.832611083984
"16/03/2018",7,652,286.938171386719
"16/03/2018",8,1176,589.632019042969
"16/03/2018",9,683,449.092315673828
"16/03/2018",10,507,498.477661132812
"16/03/2018",11,557,555.606872558594
"16/03/2018",12,705,534.069091796875
"16/03/2018",13,715,549.065307617188
"16/03/2018",14,772,576.945617675781
"16/03/2018",15,923,575.725463867188
"16/03/2018",16,976,625.859802246094
"16/03/2018",17,1160,707.139343261719
"16/03/2018",18,1641,800.856140136719
"16/03/2018",19,974,727.85302734375
"16/03/2018",20,774,643.658203125
"16/03/2018",21,710,521.586120605469
"16/03/2018",22,660,496.03271484375
"16/03/2018",23,455,404.551208496094
"17/03/2018",0,414,346.430114746094
"17/03/2018",1,366,268.014953613281
"17/03/2018",2,268,216.304336547852
"17/03/2018",3,157,99.0357360839844
"17/03/2018",4,103,160.966354370117
"17/03/2018",5,60,197.038269042969
"17/03/2018",6,109,243.577239990234
"17/03/2018",7,193,479.090637207031
"17/03/2018",8,384,649.357849121094
"17/03/2018",9,520,335.510284423828
"17/03/2018",10,561,414.163452148438
"17/03/2018",11,742,459.491027832031
"17/03/2018",12,933,512.467956542969
"17/03/2018",13,1111,483.958923339844
"17/03/2018",14,1294,549.199096679688
"17/03/2018",15,1514,577.322265625
"17/03/2018",16,1440,549.314392089844
"17/03/2018",17,1272,586.145202636719
"17/03/2018",18,934,737.10693359375
"17/03/2018",19,718,610.80078125
"17/03/2018",20,688,467.997924804688
"17/03/2018",21,624,476.072326660156
"17/03/2018",22,562,507.964538574219
"17/03/2018",23,422,391.761199951172
"18/03/2018",0,407,265.524566650391
"18/03/2018",1,309,271.932891845703
"18/03/2018",2,226,206.546676635742
"18/03/2018",3,174,141.388748168945
"18/03/2018",4,106,19.3172149658203
"18/03/2018",5,67,131.296951293945
"18/03/2018",6,73,107.486236572266
"18/03/2018",7,152,350.653198242188
"18/03/2018",8,293,709.152587890625
"18/03/2018",9,398,340.547973632812
"18/03/2018",10,460,329.932830810547
"18/03/2018",11,587,336.557220458984
"18/03/2018",12,751,390.052886962891
"18/03/2018",13,881,400.624847412109
"18/03/2018",14,993,401.924041748047
"18/03/2018",15,1128,416.078338623047
"18/03/2018",16,1059,525.513671875
"18/03/2018",17,603,467.271362304688
"18/03/2018",18,365,645.533813476562
"18/03/2018",19,237,545.582214355469
"18/03/2018",20,146,562.073181152344
"18/03/2018",21,71,567.131286621094
"18/03/2018",22,70,562.012634277344
"18/03/2018",23,53,530.549499511719
"19/03/2018",0,67,389.213012695312
"19/03/2018",1,38,326.512664794922
"19/03/2018",2,28,309.961090087891
"19/03/2018",3,12,173.967025756836
"19/03/2018",4,9,144.961303710938
"19/03/2018",5,27,146.363082885742
"19/03/2018",6,91,174.6904296875
"19/03/2018",7,370,241.423812866211
"19/03/2018",8,592,562.384826660156
"19/03/2018",9,387,447.864593505859
"19/03/2018",10,292,442.313598632812
"19/03/2018",11,393,506.906494140625
"19/03/2018",12,403,453.540924072266
"19/03/2018",13,387,417.664276123047
"19/03/2018",14,326,490.105621337891
"19/03/2018",15,263,520.890258789062
"19/03/2018",16,271,503.333435058594
"19/03/2018",17,605,473.970489501953
"19/03/2018",18,1200,685.882995605469
"19/03/2018",19,818,609.121948242188
"19/03/2018",20,711,624.160949707031
"19/03/2018",21,731,611.517883300781
"19/03/2018",22,565,617.450134277344
"19/03/2018",23,382,626.36474609375
"20/03/2018",0,297,322.632446289062
"20/03/2018",1,243,301.372253417969
"20/03/2018",2,165,283.445068359375
"20/03/2018",3,95,204.724639892578
"20/03/2018",4,69,114.032745361328
"20/03/2018",5,92,89.2506332397461
"20/03/2018",6,235,156.60774230957
"20/03/2018",7,677,359.826324462891
"20/03/2018",8,1212,622.620849609375
"20/03/2018",9,661,455.776611328125
"20/03/2018",10,418,578.223022460938
"20/03/2018",11,488,569.309265136719
"20/03/2018",12,522,599.426818847656
"20/03/2018",13,516,612.284240722656
"20/03/2018",14,478,621.027465820312
"20/03/2018",15,492,561.505615234375
"20/03/2018",16,518,502.629669189453
"20/03/2018",17,719,521.69970703125
"20/03/2018",18,1111,593.880859375
"20/03/2018",19,716,415.259216308594
"20/03/2018",20,543,324.929351806641
"20/03/2018",21,494,337.635437011719
"20/03/2018",22,460,313.965026855469
"20/03/2018",23,294,242.717315673828
"21/03/2018",0,240,151.872665405273
"21/03/2018",1,223,152.697662353516
"21/03/2018",2,147,124.831909179688
"21/03/2018",3,82,81.6521224975586
"21/03/2018",4,70,59.7580070495605
"21/03/2018",5,80,59.7580070495605
"21/03/2018",6,209,114.332527160645
"21/03/2018",7,605,310.237457275391
"21/03/2018",8,1097,598.616271972656
"21/03/2018",9,614,371.2109375
"21/03/2018",10,374,312.815399169922
"21/03/2018",11,339,399.158294677734
"21/03/2018",12,333,386.967102050781
"21/03/2018",13,196,319.211303710938
"21/03/2018",14,117,72.3764877319336
"21/03/2018",15,184,383.391296386719
"21/03/2018",16,241,315.715209960938
"21/03/2018",17,319,416.488037109375
"21/03/2018",18,615,446.994781494141
"21/03/2018",19,402,368.521667480469
"21/03/2018",20,120,239.301620483398
"21/03/2018",21,231,191.64665222168
"21/03/2018",22,320,311.270355224609
"21/03/2018",23,226,281.119445800781
"22/03/2018",0,243,188.31510925293
"22/03/2018",1,247,197.71142578125
"22/03/2018",2,173,156.002700805664
"22/03/2018",3,107,90.7446060180664
"22/03/2018",4,75,69.6091003417969
"22/03/2018",5,81,114.726715087891
"22/03/2018",6,212,140.338943481445
"22/03/2018",7,600,239.52262878418
"22/03/2018",8,1174,421.036804199219
"22/03/2018",9,653,319.826568603516
"22/03/2018",10,446,313.094604492188
"22/03/2018",11,565,444.631469726562
"22/03/2018",12,668,519.053955078125
"22/03/2018",13,648,570.299377441406
"22/03/2018",14,674,567.451293945312
"22/03/2018",15,758,562.4482421875
"22/03/2018",16,752,597.31689453125
"22/03/2018",17,999,610.332702636719
"22/03/2018",18,1495,687.884582519531
"22/03/2018",19,923,532.264343261719
"22/03/2018",20,739,415.121032714844
"22/03/2018",21,726,359.543579101562
"22/03/2018",22,621,346.721038818359
"22/03/2018",23,428,236.268447875977
"23/03/2018",0,335,192.337753295898
"23/03/2018",1,283,196.727355957031
"23/03/2018",2,216,189.934051513672
"23/03/2018",3,128,134.485336303711
"23/03/2018",4,92,82.956901550293
"23/03/2018",5,95,46.8238945007324
"23/03/2018",6,243,88.6150588989258
"23/03/2018",7,661,154.842300415039
"23/03/2018",8,1216,394.590637207031
"23/03/2018",9,664,309.133941650391
"23/03/2018",10,461,289.193634033203
"23/03/2018",11,584,372.874389648438
"23/03/2018",12,690,421.552581787109
"23/03/2018",13,682,457.056457519531
"23/03/2018",14,758,457.342193603516
"23/03/2018",15,849,490.208557128906
"23/03/2018",16,901,596.895385742188
"23/03/2018",17,1108,671.012451171875
"23/03/2018",18,1611,668.705688476562
"23/03/2018",19,932,621.101318359375
"23/03/2018",20,724,595.879150390625
"23/03/2018",21,676,378.667327880859
"23/03/2018",22,638,372.735687255859
"23/03/2018",23,422,410.382598876953
"24/03/2018",0,403,316.257507324219
"24/03/2018",1,360,300.810913085938
"24/03/2018",2,305,220.021026611328
"24/03/2018",3,197,109.011497497559
"24/03/2018",4,122,66.1580505371094
"24/03/2018",5,82,44.889778137207
"24/03/2018",6,113,111.879814147949
"24/03/2018",7,198,309.486328125
"24/03/2018",8,424,544.855712890625
"24/03/2018",9,456,390.711730957031
"24/03/2018",10,494,320.00732421875
"24/03/2018",11,589,336.751281738281
"24/03/2018",12,806,297.025543212891
"24/03/2018",13,880,355.469604492188
"24/03/2018",14,855,427.919097900391
"24/03/2018",15,1025,438.271362304688
"24/03/2018",16,947,458.534698486328
"24/03/2018",17,916,490.048522949219
"24/03/2018",18,736,511.360687255859
"24/03/2018",19,521,402.442962646484
"24/03/2018",20,513,377.788909912109
"24/03/2018",21,487,393.019866943359
"24/03/2018",22,460,352.576904296875
"24/03/2018",23,354,352.180572509766
"25/03/2018",0,372,267.169555664062
"25/03/2018",1,267,255.546249389648
"25/03/2018",2,195,195.786361694336
"25/03/2018",3,139,157.306732177734
"25/03/2018",4,90,81.6667633056641
"25/03/2018",5,60,56.3878479003906
"25/03/2018",6,71,81.8221435546875
"25/03/2018",7,137,184.718322753906
"25/03/2018",8,225,439.102844238281
"25/03/2018",9,331,321.587799072266
"25/03/2018",10,359,317.277587890625
"25/03/2018",11,466,314.418121337891
"25/03/2018",12,626,291.332916259766
"25/03/2018",13,784,296.237701416016
"25/03/2018",14,882,304.545440673828
"25/03/2018",15,960,377.306549072266
"25/03/2018",16,1031,388.125396728516
"25/03/2018",17,911,499.607238769531
"25/03/2018",18,768,697.492126464844
"25/03/2018",19,571,598.376525878906
"25/03/2018",20,502,402.003326416016
"25/03/2018",21,456,427.633636474609
"25/03/2018",22,424,428.329803466797
"25/03/2018",23,336,399.944091796875
"26/03/2018",0,244,287.810760498047
"26/03/2018",1,185,264.579681396484
"26/03/2018",2,93,178.473159790039
"26/03/2018",3,62,142.548873901367
"26/03/2018",4,65,104.135932922363
"26/03/2018",5,98,97.2485504150391
"26/03/2018",6,227,117.601211547852
"26/03/2018",7,581,136.702346801758
"26/03/2018",8,983,410.070953369141
"26/03/2018",9,540,409.985809326172
"26/03/2018",10,415,338.846069335938
"26/03/2018",11,422,329.257476806641
"26/03/2018",12,492,327.207794189453
"26/03/2018",13,504,382.580993652344
"26/03/2018",14,575,396.066986083984
"26/03/2018",15,604,423.797271728516
"26/03/2018",16,819,449.969024658203
"26/03/2018",17,925,603.684753417969
"26/03/2018",18,1477,701.558410644531
"26/03/2018",19,1031,655.070922851562
"26/03/2018",20,835,522.25390625
"26/03/2018",21,798,495.33837890625
"26/03/2018",22,662,577.858642578125
"26/03/2018",23,447,500.631439208984
"27/03/2018",0,380,368.941528320312
"27/03/2018",1,278,338.012786865234
"27/03/2018",2,163,268.833618164062
"27/03/2018",3,127,217.136245727539
"27/03/2018",4,95,172.136688232422
"27/03/2018",5,110,185.511505126953
"27/03/2018",6,231,247.370315551758
"27/03/2018",7,705,443.321105957031
"27/03/2018",8,1201,784.481079101562
"27/03/2018",9,699,377.573272705078
"27/03/2018",10,462,316.690948486328
"27/03/2018",11,560,339.301727294922
"27/03/2018",12,586,352.594879150391
"27/03/2018",13,563,394.013671875
"27/03/2018",14,618,436.182434082031
"27/03/2018",15,636,444.475128173828
"27/03/2018",16,774,447.287353515625
"27/03/2018",17,960,496.500732421875
"27/03/2018",18,1521,666.320434570312
"27/03/2018",19,1020,578.533203125
"27/03/2018",20,864,499.146850585938
"27/03/2018",21,866,471.566833496094
"27/03/2018",22,764,466.065124511719
"27/03/2018",23,527,479.303283691406
"28/03/2018",0,400,336.442901611328
"28/03/2018",1,337,364.614837646484
"28/03/2018",2,225,314.117523193359
"28/03/2018",3,150,255.917221069336
"28/03/2018",4,104,263.811676025391
"28/03/2018",5,107,209.048767089844
"28/03/2018",6,258,231.224044799805
"28/03/2018",7,741,315.122497558594
"28/03/2018",8,1353,456.392059326172
"28/03/2018",9,723,427.128784179688
"28/03/2018",10,494,369.129516601562
"28/03/2018",11,588,368.860504150391
"28/03/2018",12,629,368.086120605469
"28/03/2018",13,723,424.577911376953
"28/03/2018",14,698,542.085388183594
"28/03/2018",15,785,576.601989746094
"28/03/2018",16,943,636.882141113281
"28/03/2018",17,1221,651.061340332031
"28/03/2018",18,1839,670.390747070312
"28/03/2018",19,1288,624.374633789062
"28/03/2018",20,1133,560.5205078125
"28/03/2018",21,1035,533.794006347656
"28/03/2018",22,907,498.345489501953
"28/03/2018",23,614,551.920654296875
"29/03/2018",0,466,395.970275878906
"29/03/2018",1,390,364.2763671875
"29/03/2018",2,254,307.213531494141
"29/03/2018",3,170,254.721008300781
"29/03/2018",4,109,253.122802734375
"29/03/2018",5,106,231.850082397461
"29/03/2018",6,274,234.090377807617
"29/03/2018",7,781,375.633422851562
"29/03/2018",8,1281,543.035583496094
"29/03/2018",9,757,465.832458496094
"29/03/2018",10,482,389.896911621094
"29/03/2018",11,583,403.703369140625
"29/03/2018",12,714,356.349182128906
"29/03/2018",13,716,373.645172119141
"29/03/2018",14,711,354.501251220703
"29/03/2018",15,781,379.272125244141
"29/03/2018",16,957,517.756530761719
"29/03/2018",17,1194,469.248870849609
"29/03/2018",18,1776,717.488708496094
"29/03/2018",19,1260,627.292907714844
"29/03/2018",20,1079,529.184509277344
"29/03/2018",21,1046,531.648803710938
"29/03/2018",22,949,534.675231933594
"29/03/2018",23,614,530.726806640625
"30/03/2018",0,490,393.648895263672
"30/03/2018",1,401,386.588531494141
"30/03/2018",2,261,332.220672607422
"30/03/2018",3,184,243.888778686523
"30/03/2018",4,115,214.320709228516
"30/03/2018",5,117,200.118301391602
"30/03/2018",6,284,240.027191162109
"30/03/2018",7,747,483.117034912109
"30/03/2018",8,1406,707.083801269531
"30/03/2018",9,772,398.018005371094
"30/03/2018",10,583,497.846374511719
"30/03/2018",11,739,518.93603515625
"30/03/2018",12,939,473.958587646484
"30/03/2018",13,860,447.440734863281
"30/03/2018",14,965,474.881439208984
"30/03/2018",15,1068,461.418182373047
"30/03/2018",16,1156,495.132019042969
"30/03/2018",17,1460,536.10205078125
"30/03/2018",18,1935,654.3876953125
"30/03/2018",19,1268,589.715881347656
"30/03/2018",20,1045,520.336669921875
"30/03/2018",21,948,496.322723388672
"30/03/2018",22,880,595.698425292969
"30/03/2018",23,678,511.646453857422
"31/03/2018",0,537,414.035278320312
"31/03/2018",1,502,371.662811279297
